AGE,B,RM,CRIM,DIS,INDUS,LSTAT,NOX,PTRATIO,RAD,ZN,TAX,CHAS,Target
65.2,396.9,6.575,0.00632,4.09,2.31,4.98,0.538,15.3,1,18,296,0,24
78.9,396.9,6.421,0.02731,4.9671,7.07,9.14,0.469,17.8,2,0,242,0,21.6
61.1,392.83,7.185,0.02729,4.9671,7.07,4.03,0.469,17.8,2,0,242,0,34.7
45.8,394.63,6.998,0.03237,6.0622,2.18,2.94,0.458,18.7,3,0,222,0,33.4
54.2,396.9,7.147,0.06905,6.0622,2.18,5.33,0.458,18.7,3,0,222,0,36.2
58.7,394.12,6.43,0.02985,6.0622,2.18,5.21,0.458,18.7,3,0,222,0,28.7
66.6,395.6,6.012,0.08829,5.5605,7.87,12.43,0.524,15.2,5,12.5,311,0,22.9
96.1,396.9,6.172,0.14455,5.9505,7.87,19.15,0.524,15.2,5,12.5,311,0,27.1
100,386.63,5.631,0.21124,6.0821,7.87,29.93,0.524,15.2,5,12.5,311,0,16.5
85.9,386.71,6.004,0.17004,6.5921,7.87,17.1,0.524,15.2,5,12.5,311,0,18.9
94.3,392.52,6.377,0.22489,6.3467,7.87,20.45,0.524,15.2,5,12.5,311,0,15
82.9,396.9,6.009,0.11747,6.2267,7.87,13.27,0.524,15.2,5,12.5,311,0,18.9
39,390.5,5.889,0.09378,5.4509,7.87,15.71,0.524,15.2,5,12.5,311,0,21.7
61.8,396.9,5.949,0.62976,4.7075,8.14,8.26,0.538,21,4,0,307,0,20.4
84.5,380.02,6.096,0.63796,4.4619,8.14,10.26,0.538,21,4,0,307,0,18.2
56.5,395.62,5.834,0.62739,4.4986,8.14,8.47,0.538,21,4,0,307,0,19.9
29.3,386.85,5.935,1.05393,4.4986,8.14,6.58,0.538,21,4,0,307,0,23.1
81.7,386.75,5.99,0.7842,4.2579,8.14,14.67,0.538,21,4,0,307,0,17.5
36.6,288.99,5.456,0.80271,3.7965,8.14,11.69,0.538,21,4,0,307,0,20.2
69.5,390.95,5.727,0.7258,3.7965,8.14,11.28,0.538,21,4,0,307,0,18.2
98.1,376.57,5.57,1.25179,3.7979,8.14,21.02,0.538,21,4,0,307,0,13.6
89.2,392.53,5.965,0.85204,4.0123,8.14,13.83,0.538,21,4,0,307,0,19.6
91.7,396.9,6.142,1.23247,3.9769,8.14,18.72,0.538,21,4,0,307,0,15.2
100,394.54,5.813,0.98843,4.0952,8.14,19.88,0.538,21,4,0,307,0,14.5
94.1,394.33,5.924,0.75026,4.3996,8.14,16.3,0.538,21,4,0,307,0,15.6
85.7,303.42,5.599,0.84054,4.4546,8.14,16.51,0.538,21,4,0,307,0,13.9
90.3,376.88,5.813,0.67191,4.682,8.14,14.81,0.538,21,4,0,307,0,16.6
88.8,306.38,6.047,0.95577,4.4534,8.14,17.28,0.538,21,4,0,307,0,14.8
94.4,387.94,6.495,0.77299,4.4547,8.14,12.8,0.538,21,4,0,307,0,18.4
87.3,380.23,6.674,1.00245,4.239,8.14,11.98,0.538,21,4,0,307,0,21
94.1,360.17,5.713,1.13081,4.233,8.14,22.6,0.538,21,4,0,307,0,12.7
100,376.73,6.072,1.35472,4.175,8.14,13.04,0.538,21,4,0,307,0,14.5
82,232.6,5.95,1.38799,3.99,8.14,27.71,0.538,21,4,0,307,0,13.2
95,358.77,5.701,1.15172,3.7872,8.14,18.35,0.538,21,4,0,307,0,13.1
96.9,248.31,6.096,1.61282,3.7598,8.14,20.34,0.538,21,4,0,307,0,13.5
68.2,396.9,5.933,0.06417,3.3603,5.96,9.68,0.499,19.2,5,0,279,0,18.9
61.4,377.56,5.841,0.09744,3.3779,5.96,11.41,0.499,19.2,5,0,279,0,20
41.5,396.9,5.85,0.08014,3.9342,5.96,8.77,0.499,19.2,5,0,279,0,21
30.2,393.43,5.966,0.17505,3.8473,5.96,10.13,0.499,19.2,5,0,279,0,24.7
21.8,395.63,6.595,0.02763,5.4011,2.95,4.32,0.428,18.3,3,75,252,0,30.8
15.8,395.62,7.024,0.03359,5.4011,2.95,1.98,0.428,18.3,3,75,252,0,34.9
2.9,385.41,6.77,0.12744,5.7209,6.91,4.84,0.448,17.9,3,0,233,0,26.6
6.6,383.37,6.169,0.1415,5.7209,6.91,5.81,0.448,17.9,3,0,233,0,25.3
6.5,394.46,6.211,0.15936,5.7209,6.91,7.44,0.448,17.9,3,0,233,0,24.7
40,389.39,6.069,0.12269,5.7209,6.91,9.55,0.448,17.9,3,0,233,0,21.2
33.8,396.9,5.682,0.17142,5.1004,6.91,10.21,0.448,17.9,3,0,233,0,19.3
33.3,396.9,5.786,0.18836,5.1004,6.91,14.15,0.448,17.9,3,0,233,0,20
85.5,392.74,6.03,0.22927,5.6894,6.91,18.8,0.448,17.9,3,0,233,0,16.6
95.3,396.9,5.399,0.25387,5.87,6.91,30.81,0.448,17.9,3,0,233,0,14.4
62,396.9,5.602,0.21977,6.0877,6.91,16.2,0.448,17.9,3,0,233,0,19.4
45.7,395.56,5.963,0.08873,6.8147,5.64,13.45,0.439,16.8,4,21,243,0,19.7
63,393.97,6.115,0.04337,6.8147,5.64,9.43,0.439,16.8,4,21,243,0,20.5
21.1,396.9,6.511,0.0536,6.8147,5.64,5.28,0.439,16.8,4,21,243,0,25
21.4,396.9,5.998,0.04981,6.8147,5.64,8.43,0.439,16.8,4,21,243,0,23.4
47.6,396.9,5.888,0.0136,7.3197,4,14.8,0.41,21.1,3,75,469,0,18.9
21.9,395.93,7.249,0.01311,8.6966,1.22,4.81,0.403,17.9,5,90,226,0,35.4
35.7,396.9,6.383,0.02055,9.1876,0.74,5.77,0.41,17.3,2,85,313,0,24.7
40.5,392.9,6.816,0.01432,8.3248,1.32,3.95,0.411,15.1,5,100,256,0,31.6
29.2,390.68,6.145,0.15445,7.8148,5.13,6.86,0.453,19.7,8,25,284,0,23.3
47.2,396.9,5.927,0.10328,6.932,5.13,9.22,0.453,19.7,8,25,284,0,19.6
66.2,395.11,5.741,0.14932,7.2254,5.13,13.15,0.453,19.7,8,25,284,0,18.7
93.4,378.08,5.966,0.17171,6.8185,5.13,14.44,0.453,19.7,8,25,284,0,16
67.8,396.9,6.456,0.11027,7.2255,5.13,6.73,0.453,19.7,8,25,284,0,22.2
43.4,395.58,6.762,0.1265,7.9809,5.13,9.5,0.453,19.7,8,25,284,0,25
59.5,393.24,7.104,0.01951,9.2229,1.38,8.05,0.4161,18.6,3,17.5,216,0,33
17.8,396.9,6.29,0.03584,6.6115,3.37,4.67,0.398,16.1,4,80,337,0,23.5
31.1,396.9,5.787,0.04379,6.6115,3.37,10.24,0.398,16.1,4,80,337,0,19.4
21.4,396.21,5.878,0.05789,6.498,6.07,8.1,0.409,18.9,4,12.5,345,0,22
36.8,396.9,5.594,0.13554,6.498,6.07,13.09,0.409,18.9,4,12.5,345,0,17.4
33,396.9,5.885,0.12816,6.498,6.07,8.79,0.409,18.9,4,12.5,345,0,20.9
6.6,383.73,6.417,0.08826,5.2873,10.81,6.72,0.413,19.2,4,0,305,0,24.2
17.5,376.94,5.961,0.15876,5.2873,10.81,9.88,0.413,19.2,4,0,305,0,21.7
7.8,390.91,6.065,0.09164,5.2873,10.81,5.52,0.413,19.2,4,0,305,0,22.8
6.2,377.17,6.245,0.19539,5.2873,10.81,7.54,0.413,19.2,4,0,305,0,23.4
6,394.92,6.273,0.07896,4.2515,12.83,6.78,0.437,18.7,5,0,398,0,24.1
45,383.23,6.286,0.09512,4.5026,12.83,8.94,0.437,18.7,5,0,398,0,21.4
74.5,373.66,6.279,0.10153,4.0522,12.83,11.97,0.437,18.7,5,0,398,0,20
45.8,386.96,6.14,0.08707,4.0905,12.83,10.27,0.437,18.7,5,0,398,0,20.8
53.7,386.4,6.232,0.05646,5.0141,12.83,12.34,0.437,18.7,5,0,398,0,21.2
36.6,396.06,5.874,0.08387,4.5026,12.83,9.1,0.437,18.7,5,0,398,0,20.3
33.5,396.9,6.727,0.04113,5.4007,4.86,5.29,0.426,19,4,25,281,0,28
70.4,395.63,6.619,0.04462,5.4007,4.86,7.22,0.426,19,4,25,281,0,23.9
32.2,396.9,6.302,0.03659,5.4007,4.86,6.72,0.426,19,4,25,281,0,24.8
46.7,390.64,6.167,0.03551,5.4007,4.86,7.51,0.426,19,4,25,281,0,22.9
48,396.9,6.389,0.05059,4.7794,4.49,9.62,0.449,18.5,3,0,247,0,23.9
56.1,392.3,6.63,0.05735,4.4377,4.49,6.53,0.449,18.5,3,0,247,0,26.6
45.1,395.99,6.015,0.05188,4.4272,4.49,12.86,0.449,18.5,3,0,247,0,22.5
56.8,395.15,6.121,0.07151,3.7476,4.49,8.44,0.449,18.5,3,0,247,0,22.2
86.3,396.9,7.007,0.0566,3.4217,3.41,5.5,0.489,17.8,2,0,270,0,23.6
63.1,396.06,7.079,0.05302,3.4145,3.41,5.7,0.489,17.8,2,0,270,0,28.7
66.1,392.18,6.417,0.04684,3.0923,3.41,8.81,0.489,17.8,2,0,270,0,22.6
73.9,393.55,6.405,0.03932,3.0921,3.41,8.2,0.489,17.8,2,0,270,0,22
53.6,395.01,6.442,0.04203,3.6659,15.04,8.16,0.464,18.2,4,28,270,0,22.9
28.9,396.33,6.211,0.02875,3.6659,15.04,6.21,0.464,18.2,4,28,270,0,25
77.3,396.9,6.249,0.04294,3.615,15.04,10.59,0.464,18.2,4,28,270,0,20.6
57.8,357.98,6.625,0.12204,3.4952,2.89,6.65,0.445,18,2,0,276,0,28.4
69.6,391.83,6.163,0.11504,3.4952,2.89,11.34,0.445,18,2,0,276,0,21.4
76,396.9,8.069,0.12083,3.4952,2.89,4.21,0.445,18,2,0,276,0,38.7
36.9,393.53,7.82,0.08187,3.4952,2.89,3.57,0.445,18,2,0,276,0,43.8
62.5,396.9,7.416,0.0686,3.4952,2.89,6.19,0.445,18,2,0,276,0,33.2
79.9,394.76,6.727,0.14866,2.7778,8.56,9.42,0.52,20.9,5,0,384,0,27.5
71.3,395.58,6.781,0.11432,2.8561,8.56,7.67,0.52,20.9,5,0,384,0,26.5
85.4,70.8,6.405,0.22876,2.7147,8.56,10.63,0.52,20.9,5,0,384,0,18.6
87.4,394.47,6.137,0.21161,2.7147,8.56,13.44,0.52,20.9,5,0,384,0,19.3
90,392.69,6.167,0.1396,2.421,8.56,12.33,0.52,20.9,5,0,384,0,20.1
96.7,394.05,5.851,0.13262,2.1069,8.56,16.47,0.52,20.9,5,0,384,0,19.5
91.9,395.67,5.836,0.1712,2.211,8.56,18.66,0.52,20.9,5,0,384,0,19.5
85.2,387.69,6.127,0.13117,2.1224,8.56,14.09,0.52,20.9,5,0,384,0,20.4
97.1,395.24,6.474,0.12802,2.4329,8.56,12.27,0.52,20.9,5,0,384,0,19.8
91.2,391.23,6.229,0.26363,2.5451,8.56,15.55,0.52,20.9,5,0,384,0,19.4
54.4,393.49,6.195,0.10793,2.7778,8.56,13,0.52,20.9,5,0,384,0,21.7
81.6,395.59,6.715,0.10084,2.6775,10.01,10.16,0.547,17.8,6,0,432,0,22.8
92.9,394.95,5.913,0.12329,2.3534,10.01,16.21,0.547,17.8,6,0,432,0,18.8
95.4,396.9,6.092,0.22212,2.548,10.01,17.09,0.547,17.8,6,0,432,0,18.7
84.2,388.74,6.254,0.14231,2.2565,10.01,10.45,0.547,17.8,6,0,432,0,18.5
88.2,344.91,5.928,0.17134,2.4631,10.01,15.76,0.547,17.8,6,0,432,0,18.3
72.5,393.3,6.176,0.13158,2.7301,10.01,12.04,0.547,17.8,6,0,432,0,21.2
82.6,394.51,6.021,0.15098,2.7474,10.01,10.3,0.547,17.8,6,0,432,0,19.2
73.1,338.63,5.872,0.13058,2.4775,10.01,15.37,0.547,17.8,6,0,432,0,20.4
65.2,391.5,5.731,0.14476,2.7592,10.01,13.61,0.547,17.8,6,0,432,0,19.3
69.7,389.15,5.87,0.06899,2.2577,25.65,14.37,0.581,19.1,2,0,188,0,22
84.1,377.67,6.004,0.07165,2.1974,25.65,14.27,0.581,19.1,2,0,188,0,20.3
92.9,378.09,5.961,0.09299,2.0869,25.65,17.93,0.581,19.1,2,0,188,0,20.5
97,370.31,5.856,0.15038,1.9444,25.65,25.41,0.581,19.1,2,0,188,0,17.3
95.8,379.38,5.879,0.09849,2.0063,25.65,17.58,0.581,19.1,2,0,188,0,18.8
88.4,385.02,5.986,0.16902,1.9929,25.65,14.81,0.581,19.1,2,0,188,0,21.4
95.6,359.29,5.613,0.38735,1.7572,25.65,27.26,0.581,19.1,2,0,188,0,15.7
96,392.11,5.693,0.25915,1.7883,21.89,17.19,0.624,21.2,4,0,437,0,16.2
98.8,396.9,6.431,0.32543,1.8125,21.89,15.39,0.624,21.2,4,0,437,0,18
94.7,396.9,5.637,0.88125,1.9799,21.89,18.34,0.624,21.2,4,0,437,0,14.3
98.9,395.04,6.458,0.34006,2.1185,21.89,12.6,0.624,21.2,4,0,437,0,19.2
97.7,396.9,6.326,1.19294,2.271,21.89,12.26,0.624,21.2,4,0,437,0,19.6
97.9,385.76,6.372,0.59005,2.3274,21.89,11.12,0.624,21.2,4,0,437,0,23
95.4,388.69,5.822,0.32982,2.4699,21.89,15.03,0.624,21.2,4,0,437,0,18.4
98.4,262.76,5.757,0.97617,2.346,21.89,17.31,0.624,21.2,4,0,437,0,15.6
98.2,394.67,6.335,0.55778,2.1107,21.89,16.96,0.624,21.2,4,0,437,0,18.1
93.5,378.25,5.942,0.32264,1.9669,21.89,16.9,0.624,21.2,4,0,437,0,17.4
98.4,394.08,6.454,0.35233,1.8498,21.89,14.59,0.624,21.2,4,0,437,0,17.1
98.2,392.04,5.857,0.2498,1.6686,21.89,21.32,0.624,21.2,4,0,437,0,13.3
97.9,396.9,6.151,0.54452,1.6687,21.89,18.46,0.624,21.2,4,0,437,0,17.8
93.6,388.08,6.174,0.2909,1.6119,21.89,24.16,0.624,21.2,4,0,437,0,14
100,396.9,5.019,1.62864,1.4394,21.89,34.41,0.624,21.2,4,0,437,0,14.4
100,396.9,5.403,3.32105,1.3216,19.58,26.82,0.871,14.7,5,0,403,1,13.4
100,396.9,5.468,4.0974,1.4118,19.58,26.42,0.871,14.7,5,0,403,0,15.6
97.8,396.9,4.903,2.77974,1.3459,19.58,29.29,0.871,14.7,5,0,403,0,11.8
100,172.91,6.13,2.37934,1.4191,19.58,27.8,0.871,14.7,5,0,403,0,13.8
100,169.27,5.628,2.15505,1.5166,19.58,16.65,0.871,14.7,5,0,403,0,15.6
95.7,391.71,4.926,2.36862,1.4608,19.58,29.53,0.871,14.7,5,0,403,0,14.6
93.8,356.99,5.186,2.33099,1.5296,19.58,28.32,0.871,14.7,5,0,403,0,17.8
94.9,351.85,5.597,2.73397,1.5257,19.58,21.45,0.871,14.7,5,0,403,0,15.4
97.3,372.8,6.122,1.6566,1.618,19.58,14.1,0.871,14.7,5,0,403,0,21.5
100,341.6,5.404,1.49632,1.5916,19.58,13.28,0.871,14.7,5,0,403,0,19.6
88,343.28,5.012,1.12658,1.6102,19.58,12.12,0.871,14.7,5,0,403,1,15.3
98.5,261.95,5.709,2.14918,1.6232,19.58,15.79,0.871,14.7,5,0,403,0,19.4
96,321.02,6.129,1.41385,1.7494,19.58,15.12,0.871,14.7,5,0,403,1,17
82.6,88.01,6.152,3.53501,1.7455,19.58,15.02,0.871,14.7,5,0,403,1,15.6
94,88.63,5.272,2.44668,1.7364,19.58,16.14,0.871,14.7,5,0,403,0,13.1
97.4,363.43,6.943,1.22358,1.8773,19.58,4.59,0.605,14.7,5,0,403,0,41.3
100,353.89,6.066,1.34284,1.7573,19.58,6.43,0.605,14.7,5,0,403,0,24.3
100,364.31,6.51,1.42502,1.7659,19.58,7.39,0.871,14.7,5,0,403,0,23.3
92.6,338.92,6.25,1.27346,1.7984,19.58,5.5,0.605,14.7,5,0,403,1,27
90.8,374.43,7.489,1.46336,1.9709,19.58,1.73,0.605,14.7,5,0,403,0,50
98.2,389.61,7.802,1.83377,2.0407,19.58,1.92,0.605,14.7,5,0,403,1,50
93.9,388.45,8.375,1.51902,2.162,19.58,3.32,0.605,14.7,5,0,403,1,50
91.8,395.11,5.854,2.24236,2.422,19.58,11.64,0.605,14.7,5,0,403,0,22.7
93,240.16,6.101,2.924,2.2834,19.58,9.81,0.605,14.7,5,0,403,0,25
96.2,369.3,7.929,2.01019,2.0459,19.58,3.7,0.605,14.7,5,0,403,0,50
79.2,227.61,5.877,1.80028,2.4259,19.58,12.14,0.605,14.7,5,0,403,0,23.8
96.1,297.09,6.319,2.3004,2.1,19.58,11.1,0.605,14.7,5,0,403,0,23.8
95.2,330.04,6.402,2.44953,2.2625,19.58,11.32,0.605,14.7,5,0,403,0,22.3
94.6,292.29,5.875,1.20742,2.4259,19.58,14.43,0.605,14.7,5,0,403,0,17.4
97.3,348.13,5.88,2.3139,2.3887,19.58,12.03,0.605,14.7,5,0,403,0,19.1
88.5,396.9,5.572,0.13914,2.5961,4.05,14.69,0.51,16.6,5,0,296,0,23.1
84.1,395.5,6.416,0.09178,2.6463,4.05,9.04,0.51,16.6,5,0,296,0,23.6
68.7,393.23,5.859,0.08447,2.7019,4.05,9.64,0.51,16.6,5,0,296,0,22.6
33.1,390.96,6.546,0.06664,3.1323,4.05,5.33,0.51,16.6,5,0,296,0,29.4
47.2,393.23,6.02,0.07022,3.5549,4.05,10.11,0.51,16.6,5,0,296,0,23.2
73.4,395.6,6.315,0.05425,3.3175,4.05,6.29,0.51,16.6,5,0,296,0,24.6
74.4,391.27,6.86,0.06642,2.9153,4.05,6.92,0.51,16.6,5,0,296,0,29.9
58.4,396.9,6.98,0.0578,2.829,2.46,5.04,0.488,17.8,3,0,193,0,37.2
83.3,395.56,7.765,0.06588,2.741,2.46,7.56,0.488,17.8,3,0,193,0,39.8
62.2,396.9,6.144,0.06888,2.5979,2.46,9.45,0.488,17.8,3,0,193,0,36.2
92.2,394.12,7.155,0.09103,2.7006,2.46,4.82,0.488,17.8,3,0,193,0,37.9
95.6,396.9,6.563,0.10008,2.847,2.46,5.68,0.488,17.8,3,0,193,0,32.5
89.8,391,5.604,0.08308,2.9879,2.46,13.98,0.488,17.8,3,0,193,0,26.4
68.8,387.11,6.153,0.06047,3.2797,2.46,13.15,0.488,17.8,3,0,193,0,29.6
53.6,392.63,7.831,0.05602,3.1992,2.46,4.45,0.488,17.8,3,0,193,0,50
41.1,393.87,6.782,0.07875,3.7886,3.44,6.68,0.437,15.2,5,45,398,0,32
29.1,382.84,6.556,0.12579,4.5667,3.44,4.56,0.437,15.2,5,45,398,0,29.8
38.9,396.9,7.185,0.0837,4.5667,3.44,5.39,0.437,15.2,5,45,398,0,34.9
21.5,377.68,6.951,0.09068,6.4798,3.44,5.1,0.437,15.2,5,45,398,0,37
30.8,389.71,6.739,0.06911,6.4798,3.44,4.69,0.437,15.2,5,45,398,0,30.5
26.3,390.49,7.178,0.08664,6.4798,3.44,2.87,0.437,15.2,5,45,398,0,36.4
9.9,393.37,6.8,0.02187,6.2196,2.93,5.03,0.401,15.6,1,60,265,0,31.1
18.8,376.7,6.604,0.01439,6.2196,2.93,4.38,0.401,15.6,1,60,265,0,29.1
32,394.23,7.875,0.01381,5.6484,0.46,2.97,0.422,14.4,4,80,255,0,50
34.1,396.9,7.287,0.04011,7.309,1.52,4.08,0.404,12.6,2,80,329,0,33.3
36.6,354.31,7.107,0.04666,7.309,1.52,8.61,0.404,12.6,2,80,329,0,30.3
38.3,392.2,7.274,0.03768,7.309,1.52,6.62,0.404,12.6,2,80,329,0,34.6
15.3,396.9,6.975,0.0315,7.6534,1.47,4.56,0.403,17,3,95,402,0,34.9
13.9,384.3,7.135,0.01778,7.6534,1.47,4.45,0.403,17,3,95,402,0,32.9
38.4,393.77,6.162,0.03445,6.27,2.03,7.43,0.415,14.7,2,82.5,348,0,24.1
15.7,395.38,7.61,0.02177,6.27,2.03,3.11,0.415,14.7,2,82.5,348,0,42.3
33.2,392.78,7.853,0.0351,5.118,2.68,3.81,0.4161,14.7,4,95,224,0,48.5
31.9,390.55,8.034,0.02009,5.118,2.68,2.88,0.4161,14.7,4,95,224,0,50
22.3,396.9,5.891,0.13642,3.9454,10.59,10.87,0.489,18.6,4,0,277,0,22.6
52.5,394.87,6.326,0.22969,4.3549,10.59,10.97,0.489,18.6,4,0,277,0,24.4
72.7,389.43,5.783,0.25199,4.3549,10.59,18.06,0.489,18.6,4,0,277,0,22.5
59.1,381.32,6.064,0.13587,4.2392,10.59,14.66,0.489,18.6,4,0,277,1,24.4
100,396.9,5.344,0.43571,3.875,10.59,23.09,0.489,18.6,4,0,277,1,20
92.1,393.25,5.96,0.17446,3.8771,10.59,17.27,0.489,18.6,4,0,277,1,21.7
88.6,395.24,5.404,0.37578,3.665,10.59,23.98,0.489,18.6,4,0,277,1,19.3
53.8,390.94,5.807,0.21719,3.6526,10.59,16.03,0.489,18.6,4,0,277,1,22.4
32.3,385.81,6.375,0.14052,3.9454,10.59,9.38,0.489,18.6,4,0,277,0,28.1
9.8,348.93,5.412,0.28955,3.5875,10.59,29.55,0.489,18.6,4,0,277,0,23.7
42.4,393.63,6.182,0.19802,3.9454,10.59,9.47,0.489,18.6,4,0,277,0,25
56,392.8,5.888,0.0456,3.1121,13.89,13.51,0.55,16.4,5,0,276,1,23.3
85.1,392.78,6.642,0.07013,3.4211,13.89,9.69,0.55,16.4,5,0,276,0,28.7
93.8,396.9,5.951,0.11069,2.8893,13.89,17.92,0.55,16.4,5,0,276,1,21.5
92.4,393.74,6.373,0.11425,3.3633,13.89,10.5,0.55,16.4,5,0,276,1,23
88.5,391.7,6.951,0.35809,2.8617,6.2,9.71,0.507,17.4,8,0,307,1,26.7
91.3,395.24,6.164,0.40771,3.048,6.2,21.46,0.507,17.4,8,0,307,1,21.7
77.7,390.39,6.879,0.62356,3.2721,6.2,9.93,0.507,17.4,8,0,307,1,27.5
80.8,396.9,6.618,0.6147,3.2721,6.2,7.6,0.507,17.4,8,0,307,0,30.1
78.3,385.05,8.266,0.31533,2.8944,6.2,4.14,0.504,17.4,8,0,307,0,44.8
83,382,8.725,0.52693,2.8944,6.2,4.63,0.504,17.4,8,0,307,0,50
86.5,387.38,8.04,0.38214,3.2157,6.2,3.13,0.504,17.4,8,0,307,0,37.6
79.9,372.08,7.163,0.41238,3.2157,6.2,6.36,0.504,17.4,8,0,307,0,31.6
17,377.51,7.686,0.29819,3.3751,6.2,3.92,0.504,17.4,8,0,307,0,46.7
21.4,380.34,6.552,0.44178,3.3751,6.2,3.76,0.504,17.4,8,0,307,0,31.5
68.1,378.35,5.981,0.537,3.6715,6.2,11.65,0.504,17.4,8,0,307,0,24.3
76.9,376.14,7.412,0.46296,3.6715,6.2,5.25,0.504,17.4,8,0,307,0,31.7
73.3,385.91,8.337,0.57529,3.8384,6.2,2.47,0.507,17.4,8,0,307,0,41.7
70.4,378.95,8.247,0.33147,3.6519,6.2,3.95,0.507,17.4,8,0,307,0,48.3
66.5,360.2,6.726,0.44791,3.6519,6.2,8.05,0.507,17.4,8,0,307,1,29
61.5,376.75,6.086,0.33045,3.6519,6.2,10.88,0.507,17.4,8,0,307,0,24
76.5,388.45,6.631,0.52058,4.148,6.2,9.54,0.507,17.4,8,0,307,1,25.1
71.6,390.07,7.358,0.51183,4.148,6.2,4.73,0.507,17.4,8,0,307,0,31.5
18.5,379.41,6.481,0.08244,6.1899,4.93,6.36,0.428,16.6,6,30,300,0,23.7
42.2,383.78,6.606,0.09252,6.1899,4.93,7.37,0.428,16.6,6,30,300,0,23.3
54.3,391.25,6.897,0.11329,6.3361,4.93,11.38,0.428,16.6,6,30,300,0,22
65.1,394.62,6.095,0.10612,6.3361,4.93,12.4,0.428,16.6,6,30,300,0,20.1
52.9,372.75,6.358,0.1029,7.0355,4.93,11.22,0.428,16.6,6,30,300,0,22.2
7.8,374.71,6.393,0.12757,7.0355,4.93,5.19,0.428,16.6,6,30,300,0,23.7
76.5,372.49,5.593,0.20608,7.9549,5.86,12.5,0.431,19.1,7,22,330,0,17.6
70.2,389.13,5.605,0.19133,7.9549,5.86,18.46,0.431,19.1,7,22,330,0,18.5
34.9,390.18,6.108,0.33983,8.0555,5.86,9.16,0.431,19.1,7,22,330,0,24.3
79.2,376.14,6.226,0.19657,8.0555,5.86,10.15,0.431,19.1,7,22,330,0,20.5
49.1,374.71,6.433,0.16439,7.8265,5.86,9.52,0.431,19.1,7,22,330,0,24.5
17.5,393.74,6.718,0.19073,7.8265,5.86,6.56,0.431,19.1,7,22,330,0,26.2
13,396.28,6.487,0.1403,7.3967,5.86,5.9,0.431,19.1,7,22,330,0,24.4
8.9,377.07,6.438,0.21409,7.3967,5.86,3.59,0.431,19.1,7,22,330,0,24.8
